LoadNumber;StopNumber;StopType;AppointmentDate;AppointmentTime;AppointmentComment;ExpectedArrivalDate;ExpectedArrivalTime;ExpectedArrivalReasonCode;ExpectedArrivalComment;ExpectedDepartureDate;ExpectedDepartureTime;ExpectedDepartureReasonCode;ExpectedDepartureComment;ActualArrivalDate;ActualArrivalTime;ActualArrivalReasonCode;ActualArrivalComment;ActualDepartureDate;ActualDepartureTime;ActualDepartureReasonCode;ActualDepartureComment
L-0052358;2;Delivery;14-05-2019;12:00:00;;;;;;;;;;14-05-2019;11:22:00;;;14-05-2019;12:09:00;;
L-0052744;2;Delivery;16-05-2019;12:30:00;;;;;;;;;;16-05-2019;12:47:00;402 Traffic jams;;16-05-2019;14:15:00;;
L-0052755;2;Delivery;15-05-2019;09:45:00;;;;;;;;;;15-05-2019;09:21:00;;;15-05-2019;10:03:00;;
L-0053623;2;Delivery;17-05-2019;11:00:00;;;;;;;;;;17-05-2019;11:09:00;;;17-05-2019;11:41:00;;
